trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-113.37496902302351,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-59.09816028487063,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-134.06670593588998,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,8,-49.06319618038093,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,12,0.6914245699862644,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-37.24436690650631,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",35,0,-164.68715823775918,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-68.30941461653482,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-98.85096990101056,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-70.12192417788256,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-77.28848840484297,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,2,-123.05252715485196,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 2}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-140.83071352483032,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-103.99429521684175,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
